"INVOICED_QTY"
"10"
"6"
"40"
"4"
"50"
"15"
"15"
"1"
"5"
"4"
"20"
"6"
"8"
"6"
"4"
"4"
"2"
"8"
"5"
"3"
"3"
"2"
"2"
"3"
"2"
"8"
"4"
"2"
"1"
"2"
"1"
"1"
"1"
"1"
"1"
"1"
"4"
"3"
"1"
"4"
"3"
"4"
"3"
"20"
"8"
"40"
"10"
"12"
"2"
"4"
"1"
"100"
"6"
"2"
"2"
"3"
"1"
"20"
"1"
"4"
"1"
"1"
"10"
"1"
"8"
"1"
"2"
"5"
"9"
"2"
"6"
"36"
"1"
"1"
"1"
"2"
"1"
"2"
"1"
"1"
"3"
"5"
"6"
"3"
"2"
"12"
"1"
"5"
"1"
"2"
"2"
"1"
"1"
"5"
"5"
"3"
"1"
"4"
"1"
"10"
"1"
"1"
"1"
"3"
"1"
"4"
"3"
"3"
"2"
"10"
"2"
"1"
"1"
"15"
"6"
"3"
"1"
"1"
"1"
"1"
"1"
"4"
"1"
"3"
"3"
"2"
"2"
"1"
"2"
"1"
"1"
"2"
"2"
"5"
"1"
"1"
"2"
"2"
"2"
"2"
"1"
"2"
"2"
"2"
"5"
"2"
"2"
"1"
"3"
"3"
"1"
"8"
"1"
"1"
"2"
"2"
"5"
"4"
"2"
"1"
"1"
"8"
"2"
"2"
"2"
"2"
"4"
"4"
"1"
"5"
"1"
"1"
"6"
"1"
"2"
"3"
"1"
"3"
"2"
"1"
"1"
"2"
"1"
"1"
"1"
"1"
"1"
"6"
"2"
"4"
"1"
"1"
"2"
"1"
"1"
"4"
"14"
"10"
"5"
"2"
"3"
"2"
"4"
"2"
"2"
"1"
"2"
"1"
"1"
"1"
"10"
"5"
"4"
"1"
"1"
"3"
"1"
"24"
"10"
"5"
"6"
"1"
"1"
"1"
"2"
"1"
"1"
"1"
"4"
"1"
"4"
"4"
"3"
"1"
"3"
"6"
"3"
"1"
"5"
"1"
"1"
"2"
"1"
"5"
"1"
"2"
"1"
"1"
"1"
"2"
"10"
"4"
"2"
"2"
"6"
"6"
"6"
"2"
"1"
"2"
"1"
"2"
"1"
"2"
"2"
"2"
"1"
"1"
"3"
"2"
"1"
"1"
"5"
"15"
"10"
"5"
"100"
"2"
"2"
"1"
"4"
"4"
"1"
"1"
"3"
"6"
"2"
"2"
"4"
"1"
"1"
"1"
"3"
"1"
"3"
"3"
"48"
"10"
"48"
"5"
"2"
"5"
"2"
"1"
"3"
"3"
"1"
"1"
"-1"
"1"
"2"
"4"
"1"
"1"
"2"
"1"
"5"
"1"
"1"
"8"
"1"
"1"
"18"
"1"
"2"
"5"
"5"
"1"
"1"
"3"
"1"
"2"
"2"
"2"
"3"
"5"
"10"
"2"
"1"
"20"
"10"
"3"
"1"
"2"
"4"
"3"
"20"
"3"
"2"
"1"
"2"
"3"
"24"
"10"
"10"
"2"
"4"
"3"
"1"
"3"
"2"
"10"
"5"
"5"
"3"
"1"
"2"
"1"
"2"
"1"
"1"
"1"
"2"
"1"
"1"
"1"
"2"
"5"
"5"
"1"
"1"
"4"
"4"
